date,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
2024-03-10,2,1,13,1,0,5,9,9,14,4,7,30,0,0,0,1,0,2,6,5,48,57,11,0,0,1,0,5,1,3,25,2,4,1,2,2
2024-03-09,2,0,6,1,0,4,11,14,25,9,19,32,0,0,0,2,1,5,14,7,42,38,3,1,0,2,1,5,3,4,9,4,2,0,0,3
2024-03-08,2,0,8,0,1,5,11,10,21,9,11,29,0,0,0,2,0,8,11,8,35,47,2,1,0,1,0,4,2,2,25,2,1,4,0,4
2024-03-07,0,1,7,1,0,5,8,16,14,17,16,30,0,0,0,3,3,15,22,15,58,53,7,0,0,0,1,5,0,6,16,8,4,1,0,5
2024-03-06,4,1,15,1,1,9,10,11,25,8,8,15,1,0,0,3,1,8,13,12,79,52,6,0,0,2,3,3,4,7,26,7,6,0,2,2
2024-03-05,2,1,12,0,1,4,7,20,21,10,16,36,0,0,1,0,2,8,10,7,90,80,5,2,0,3,2,5,3,3,24,4,1,1,0,5
2024-03-04,3,2,5,1,6,2,11,15,26,10,9,32,0,0,0,3,1,4,9,7,126,52,5,0,1,6,1,3,2,4,19,1,2,0,2,3
2024-03-03,7,0,20,1,2,4,11,22,21,7,6,24,0,0,0,1,2,6,4,4,114,43,4,1,1,4,0,1,2,5,19,5,6,3,0,3
2024-03-02,12,3,14,0,0,3,8,14,32,4,12,23,0,1,0,4,0,8,10,11,54,51,4,0,0,1,0,4,4,6,14,5,3,1,1,4
2024-03-01,2,2,11,1,1,8,15,21,16,14,15,25,0,0,0,2,5,9,19,14,64,81,8,2,0,1,2,7,3,4,23,8,7,0,2,5
2024-02-29,6,0,13,4,3,16,15,18,18,14,10,22,0,0,1,4,2,5,12,13,27,50,5,0,1,0,0,3,1,8,31,4,7,2,0,4
2024-02-28,2,0,10,3,2,5,18,12,17,14,11,21,0,0,0,1,1,6,17,6,45,36,8,1,1,2,0,2,3,4,18,2,6,1,1,8
2024-02-27,4,1,11,3,3,6,17,10,25,7,17,26,0,0,0,3,3,4,21,6,68,41,5,0,0,3,0,1,6,4,22,4,5,1,2,4
2024-02-26,1,0,8,1,2,1,20,8,8,9,7,20,0,0,0,1,1,2,13,9,51,58,14,2,0,7,1,1,5,6,16,4,1,0,2,9
2024-02-25,1,3,6,2,2,6,11,15,17,15,10,30,0,0,0,2,4,4,5,14,55,55,6,0,0,4,0,6,10,1,24,2,5,1,1,5
2024-02-24,4,0,9,1,5,11,10,14,19,12,9,24,0,0,0,4,2,4,8,16,31,35,7,1,0,3,1,8,2,6,22,1,4,1,1,3
2024-02-23,6,1,12,5,1,3,7,16,17,11,19,26,0,0,0,1,2,10,12,16,46,53,5,1,3,6,1,5,1,7,22,3,3,3,2,6
2024-02-22,4,1,20,4,4,5,13,13,24,10,13,28,0,0,0,0,3,6,15,11,47,57,8,0,0,2,0,1,1,3,18,4,4,4,2,4
2024-02-21,5,0,17,5,1,8,15,10,25,10,10,18,1,0,0,3,3,6,15,20,42,68,4,0,0,7,1,3,2,5,11,5,6,0,1,4
2024-02-20,4,0,13,0,0,4,16,15,17,12,11,24,0,0,0,0,2,14,19,31,53,74,12,0,0,2,1,2,4,5,22,4,2,1,1,6
2024-02-19,8,2,7,1,4,7,10,12,30,3,20,28,0,0,0,2,2,4,6,14,27,48,5,2,0,8,2,1,5,8,20,0,4,2,4,4
2024-02-18,4,0,14,1,5,5,12,15,25,3,15,29,1,0,1,3,1,13,9,11,32,64,5,2,2,3,1,4,1,7,16,8,4,0,1,7
2024-02-17,8,0,14,2,3,5,12,9,33,15,9,26,0,1,0,2,1,16,2,26,38,47,2,0,0,2,0,3,1,8,12,2,4,1,1,6
2024-02-16,1,0,20,1,0,5,12,6,22,14,16,32,0,0,0,3,5,9,9,12,66,84,11,0,1,4,1,1,6,0,21,3,9,2,3,7
2024-02-15,7,0,22,1,1,2,11,10,19,8,15,23,0,0,0,4,4,6,13,21,56,84,10,1,0,3,1,4,7,3,20,7,4,2,4,3
2024-02-14,4,0,22,2,2,4,16,10,23,8,18,21,0,0,0,4,0,13,8,17,22,35,3,1,3,4,1,4,3,4,17,9,2,2,1,4
2024-02-13,1,1,20,1,4,6,10,21,25,8,11,27,0,0,0,1,1,8,6,7,57,52,3,1,2,1,1,3,0,5,15,2,0,1,1,6
2024-02-12,7,0,31,0,1,1,58,10,34,12,16,29,0,0,2,4,4,2,13,14,62,60,7,1,1,4,0,2,4,3,20,3,3,1,1,3
2024-02-11,5,1,24,1,2,2,17,10,18,5,14,24,0,1,1,1,2,6,12,17,39,46,18,1,0,6,0,5,8,6,17,9,4,2,0,1
2024-02-10,3,1,52,2,1,12,28,13,10,25,28,23,0,0,1,0,2,6,4,19,26,58,5,0,1,1,1,4,2,14,16,4,8,0,4,4
