date,1,2,3,4,5,6,7,8,9,10
2024-03-10,1.6,3.0,4.0,4.8,5.4,5.5,0.0,0.0,0.0,0.0
2024-03-09,1.5,3.0,4.1,4.8,5.4,5.4,0.0,0.0,0.0,0.0
2024-03-08,1.6,2.9,4.0,4.8,5.4,6.0,0.0,0.0,0.0,0.0
2024-03-07,1.8,3.0,4.1,4.9,5.5,5.7,0.0,0.0,0.0,0.0
2024-03-06,1.6,3.1,4.0,4.9,5.4,5.6,0.0,0.0,0.0,0.0
2024-03-05,1.6,3.1,4.1,4.9,5.2,6.0,0.0,0.0,0.0,0.0
2024-03-04,1.6,3.1,4.1,4.8,5.6,5.6,0.0,0.0,0.0,0.0
2024-03-03,1.2,3.0,4.0,4.9,5.7,5.1,6.7,0.0,0.0,0.0
2024-03-02,1.6,3.0,4.0,4.9,5.6,5.9,0.0,0.0,0.0,0.0
2024-03-01,1.7,3.1,4.1,4.9,5.5,6.0,0.0,0.0,0.0,0.0
2024-02-29,1.4,2.9,4.0,4.8,5.7,5.7,0.0,0.0,0.0,0.0
2024-02-28,1.4,3.0,4.0,4.9,5.5,5.7,0.0,0.0,0.0,0.0
2024-02-27,1.5,3.1,4.1,4.9,5.5,5.3,0.0,0.0,0.0,0.0
2024-02-26,1.8,3.1,4.0,4.7,5.6,5.1,0.0,0.0,0.0,0.0
2024-02-25,1.7,3.0,4.1,4.9,5.5,5.9,0.0,0.0,0.0,0.0
2024-02-24,1.4,2.9,4.1,4.8,5.6,5.5,0.0,0.0,0.0,0.0
2024-02-23,1.7,2.8,4.0,4.9,5.6,5.7,6.3,0.0,0.0,0.0
2024-02-22,1.8,3.1,4.1,4.9,5.4,5.5,0.0,0.0,0.0,0.0
2024-02-21,1.8,3.0,4.0,4.8,5.5,5.7,0.0,0.0,0.0,0.0
2024-02-20,1.9,3.1,4.0,4.9,5.5,5.1,0.0,0.0,0.0,0.0
2024-02-19,1.5,3.0,3.9,4.9,5.5,5.6,0.0,0.0,0.0,0.0
2024-02-18,1.8,3.0,3.9,5.0,5.6,5.7,0.0,0.0,0.0,0.0
2024-02-17,1.4,3.0,4.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0
2024-02-16,1.9,3.1,4.1,4.8,5.6,5.4,0.0,0.0,0.0,0.0
2024-02-15,1.8,3.1,4.0,5.0,5.7,5.4,0.0,0.0,0.0,0.0
2024-02-14,1.5,2.9,4.0,4.9,5.6,6.3,0.0,0.0,0.0,0.0
2024-02-13,1.6,3.0,4.0,4.8,5.5,5.1,0.0,0.0,0.0,0.0
2024-02-12,1.6,3.1,4.1,5.0,5.6,6.1,0.0,0.0,0.0,0.0
2024-02-11,1.7,3.0,4.0,4.9,5.5,5.4,0.0,0.0,0.0,0.0
2024-02-10,1.8,3.0,4.1,4.9,5.5,5.8,0.0,0.0,0.0,0.0
