date,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
2024-03-10,11,77,108,58,14,3,0,0,0,0
2024-03-09,6,61,117,67,17,1,0,0,0,0
2024-03-08,13,56,104,70,21,2,0,0,0,0
2024-03-07,23,89,123,77,23,2,0,0,0,0
2024-03-06,10,88,147,70,25,5,0,0,0,0
2024-03-05,11,88,168,98,16,5,0,0,0,0
2024-03-04,10,88,156,90,27,2,0,0,0,0
2024-03-03,4,65,148,95,39,1,1,0,0,0
2024-03-02,14,77,106,73,39,2,0,0,0,0
2024-03-01,19,112,142,90,30,4,0,0,0,0
2024-02-29,8,64,117,83,42,5,0,0,0,0
2024-02-28,9,63,111,79,20,2,0,0,0,0
2024-02-27,15,81,132,76,28,1,0,0,0,0
2024-02-26,17,94,99,47,30,1,0,0,0,0
2024-02-25,11,77,116,86,29,3,0,0,0,0
2024-02-24,8,42,118,78,29,3,0,0,0,0
2024-02-23,14,66,128,82,37,4,1,0,0,0
2024-02-22,19,94,112,73,29,2,0,0,0,0
2024-02-21,25,92,108,72,29,5,0,0,0,0
2024-02-20,26,101,131,82,30,1,0,0,0,0
2024-02-19,7,69,84,90,44,6,0,0,0,0
2024-02-18,22,77,99,92,31,3,0,0,0,0
2024-02-17,6,77,110,90,28,0,0,0,0,0
2024-02-16,27,122,113,86,36,2,0,0,0,0
2024-02-15,21,114,126,76,37,2,0,0,0,0
2024-02-14,8,58,110,72,31,8,0,0,0,0
2024-02-13,12,79,121,71,24,1,0,0,0,0
2024-02-12,9,106,171,90,32,5,0,0,0,0
2024-02-11,14,73,130,73,34,1,0,0,0,0
2024-02-10,18,72,156,92,38,2,0,0,0,0
